50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.185831,,,,,,,,,,,,,b747aa92-01f9-48cf-8248-50ec162a001e,67,,,"[71.5, 19.0]",3942226,0,,,,-0.35563588,,Right Foot,,,,"[82.0, 15.1]",,Ground Pass,,11.200892,,,,Nicholas Williams Arthuer,68574.0,,,,,,1,Regular Play,Fabián Ruiz Peña,6655.0,Left Center Midfield,5,Spain,772,['eb226485-fd5e-41a5-949a-0e1b04945603'],45,,,,,,,,,,,,,,,,,Spain,772,00:00:45.550,Pass,
,,,,,,,,,,,,,,,,,,1.149635,,,,,,,,,,,,,bdf80be2-a806-4a72-9510-91fde2638452,70,,,"[97.3, 13.3]",3942226,0,,,,1.0810839,,Right Foot,True,,,"[108.6, 34.5]",,Ground Pass,,24.023531,,,,Álvaro Borja Morata Martín,3477.0,,,,,,1,Regular Play,Nicholas Williams Arthuer,68574.0,Left Wing,5,Spain,772,['de52f67d-3c18-49d3-92f6-8e1b563d7a2c'],50,,,,,,,,,,,,,,,,,Spain,772,00:00:50.613,Pass,
,,,,,,,,,,,,,,,,,,1.202933,,,,,,,,,,,,,98e5f0aa-462b-4901-b826-a85894e5c877,73,,,"[107.6, 34.5]",3942226,0,,,,2.4356728,8ea3599b-d424-4dd9-8e01-03bd28dc1d2c,Right Foot,,,,"[101.5, 39.7]",,Ground Pass,,8.01561,,,,Pedro González López,30486.0,True,,,,,1,Regular Play,Álvaro Borja Morata Martín,3477.0,Center Forward,5,Spain,772,"['35da1865-84df-42bc-af99-547cdfd6b9d4', '9703a611-25e1-4e67-91dd-0ca098a85db4']",51,,,,,,,,,,,,,,,,,Spain,772,00:00:51.763,Pass,True
,,,,,,,,,,,,,,,,,,4.945188,,,,,,,,,,,,,cef491ed-ef82-43d3-a67e-9eb780a0093f,78,,,"[9.5, 45.6]",3942226,1,True,,,0.6153395,,Keeper Arm,,,,"[50.1, 74.3]",,Low Pass,,49.719715,,Injury Clearance,,,,,,,,,1,From Keeper,Manuel Neuer,5570.0,Goalkeeper,6,Germany,770,,0,,,,,,,,,,,,,,,,,Germany,770,00:01:00.775,Pass,
,,,,,,,,,,,,,,,,,,1.275958,,,,,,,,,,,,,8dbe566a-dd19-44d8-a7a0-39b4837da5ab,82,,,"[63.4, 14.1]",3942226,2,,,,-0.88139844,,Right Foot,,,,"[69.5, 6.7]",,Ground Pass,,9.590099,,,,Marc Cucurella Saseta,17620.0,,,,,Free Kick,1,From Free Kick,Aymeric Laporte,4353.0,Left Center Back,7,Spain,772,['fede3072-d19a-427a-9288-a0ed4f91996e'],27,,,,,,,,,,,,,,,,,Spain,772,00:02:27.286,Pass,
,,,,,,,,,,,,,,,,,,0.948917,,,,,,,,,,,,,185b7316-e3e3-4e08-9e3c-772e2f0e3164,85,,,"[69.5, 6.7]",3942226,2,,,,2.4308853,,Left Foot,,,,"[61.6, 13.5]",,Ground Pass,,10.423532,,,,Aymeric Laporte,4353.0,,,,,,1,From Free Kick,Marc Cucurella Saseta,17620.0,Left Back,7,Spain,772,['96169a3e-c0d2-4153-be79-4864b43611bd'],29,,,,,,,,,,,,,,,,,Spain,772,00:02:29.067,Pass,
,,,,,,,,,,,,,,,,,,0.721667,,,,,,,,,,,,,4f988a4b-c0fb-45ce-b744-e5d7fa8cade4,89,,,"[61.0, 14.1]",3942226,2,,,,1.3633001,,Left Foot,,,,"[63.4, 25.5]",,Ground Pass,,11.649893,,,,Fabián Ruiz Peña,6655.0,,,,,,1,From Free Kick,Aymeric Laporte,4353.0,Left Center Back,7,Spain,772,"['3a2bd611-ad6b-46f9-959f-bbb9ef46088b', 'c00a0c71-79d4-4dd1-bc0c-798e19eae44a']",31,,,,,,,,,,,,,,,,,Spain,772,00:02:31.022,Pass,True
,,,,,,,,,,,,,,,,,,1.480074,,,,,,,,,,,,,775a47a6-cb4d-4335-80fc-5c1a196ab0f2,92,,,"[64.2, 23.7]",3942226,2,,,,-1.0188978,,Left Foot,,,,"[78.3, 0.8]",,Low Pass,,26.89275,,Out,,Marc Cucurella Saseta,17620.0,,,,,,1,From Free Kick,Fabián Ruiz Peña,6655.0,Left Center Midfield,7,Spain,772,['4adf0ceb-9989-49bb-a80c-867beaf8a9e9'],31,,,,,,,,,,,,,,,,,Spain,772,00:02:31.821,Pass,
,,,,,,,,,,,,,,,,,,1.484186,,,,,,,,,,,,,14960b1a-f956-4699-8bda-17c9f4f8492b,94,,,"[49.3, 80.0]",3942226,2,,,,-0.35548553,,,,,,"[66.0, 73.8]",,High Pass,,17.813759,,,,Kai Havertz,8966.0,,,,,Throw-in,1,From Throw In,Joshua Kimmich,5579.0,Right Back,8,Germany,770,['e80470f4-a13b-4371-a9b8-4e26509ce3a0'],51,,,,,,,,,,,,,,,,,Germany,770,00:02:51.205,Pass,
,,,,,,,,,,,,,,,,,,0.979525,,,,,,,,,,,,,981b85b4-28f4-43f1-8968-53b6eba666d0,97,,,"[66.0, 73.8]",3942226,2,,,True,-0.9944211,,,,,,"[71.2, 65.8]",,High Pass,,9.541489,,,,İlkay Gündoğan,10287.0,,,,,,1,From Throw In,Kai Havertz,8966.0,Center Forward,8,Germany,770,"['c76df07e-9272-4d82-ba55-7dff0cad3876', 'd9a67f2a-c180-4056-b6fd-4450f73ceec0']",52,,,,,,,,,,,,,,,,,Germany,770,00:02:52.727,Pass,True
